k1 k2 k3
6.468590323822692723e-02 -1.180567609719720967e-02 1.144417117113702420e-03
6.245344472155389681e-02 -9.632424663676628085e-03 7.723656235513465251e-04
6.321667814316533907e-02 -1.090632730537804962e-02 2.066477526909998863e-03
6.335774485236536635e-02 -1.046366520069802464e-02 3.083441460184105365e-03
6.541336317031140601e-02 -9.016958033071051370e-03 2.790887847978915093e-03
6.346662454485013649e-02 -9.654822910081711784e-03 3.908857236572790828e-03
6.510141487906348501e-02 -1.080195584764886974e-02 1.994990045577099691e-03
6.451292673805505973e-02 -1.079399580951689863e-02 1.825604314154349872e-03
6.509437312925606123e-02 -1.154931356088290118e-02 2.722325832647906618e-03
6.506715160913698059e-02 -1.060283268626359410e-02 7.613267455228028835e-04
6.395252295851530655e-02 -1.077415696106981402e-02 2.003861708719981150e-03
6.333163205647315830e-02 -1.166630148242622789e-02 3.008308342075355357e-03
6.296019129697219552e-02 -1.016378522369133786e-02 2.577041967987137028e-03
6.408238220098766424e-02 -1.018614342451887311e-02 3.608423500690391417e-03
6.338293298509914409e-02 -1.042946834192851058e-02 2.187342313056755971e-03
6.414842981784349418e-02 -1.205887086948777276e-02 3.713172387991098278e-03
6.613430583927401574e-02 -9.103054318963188507e-03 3.367450325598347893e-03
6.330406592273027377e-02 -1.179966301597522305e-02 7.846089110481180295e-04
6.519697439251512239e-02 -9.778051767659251547e-03 3.142033505740160493e-03
6.337519772083285985e-02 -1.066200456134898389e-02 3.739190355501270657e-03
6.382778142186595893e-02 -1.042894659502544008e-02 1.064317753168481095e-03
6.316356474361453643e-02 -1.099643467710478828e-02 2.634128972472837837e-03
6.264023808123106440e-02 -1.130503518925099482e-02 3.675246152275768452e-03
6.425086406596222655e-02 -1.116362860712077909e-02 2.399192636694719161e-03
6.422978813482690952e-02 -1.200352584182302895e-02 1.908941091337393314e-03
6.536984752429969570e-02 -1.128096860236238452e-02 -5.100667556015570092e-05
6.622792768213331405e-02 -1.006774848372658793e-02 2.342667678592369462e-03
6.390886539484705309e-02 -1.019623328532139050e-02 3.348701343344390180e-03
6.267671279319844690e-02 -1.066526997522372622e-02 2.155628125474165491e-03
6.518098525305554558e-02 -1.075757869382940046e-02 1.558108056124815621e-03
6.367152539912498965e-02 -1.000202874120413588e-02 1.926924727112463986e-03
6.421097744394946294e-02 -1.050984948740088520e-02 1.726857301472414785e-03
6.247265828395334730e-02 -1.135396849456007939e-02 9.155042770394306029e-04
6.571976711827712259e-02 -9.749636368888925375e-03 3.288987291683559411e-03
6.605856096506665387e-02 -1.030863112284206851e-02 9.517835490895076855e-05
6.442703916563519151e-02 -1.237426409320381560e-02 7.204778761037006207e-04
6.473821185204575723e-02 -9.578955176480635769e-03 1.544948155742437157e-03
6.452585314403366801e-02 -1.085643859215554285e-02 1.990911907451681229e-03
6.479334374176906608e-02 -1.072838677711122901e-02 4.778996596499898719e-03
6.208843314505804734e-02 -1.256806903527028785e-02 2.692903294265122649e-03
6.480472141264589925e-02 -1.005521173900411624e-02 3.079022841469478133e-03
6.394221765154212145e-02 -1.201761819345423254e-02 6.675624949239733485e-04
6.381683265831164520e-02 -8.932855941096551344e-03 4.454553245428954922e-03
6.462882962247340490e-02 -1.033976121035837248e-02 1.580838144445234628e-03
6.204999660740306844e-02 -9.148629927330897971e-03 4.353233880897436348e-03
6.341321909341413043e-02 -1.074792537693225469e-02 1.959601538696370548e-03
6.396807923146016761e-02 -9.776340186865004056e-03 1.948264335989227658e-03
6.476110681825558713e-02 -1.174445621149032559e-02 1.719201209963938659e-03
6.508017976062213661e-02 -1.043899325616200191e-02 3.358981970489921531e-03
6.451221029522347106e-02 -1.130897652448879798e-02 7.929395363888563919e-04
6.402879532029612242e-02 -1.153396321445004924e-02 3.904084904195609385e-03
6.337481896277227800e-02 -1.217181838836037255e-02 2.947808120184247649e-03
6.284742182632865881e-02 -1.082130900679628693e-02 1.993311014173618223e-03
6.273104452956956845e-02 -1.251093090086055626e-02 4.327699066739132405e-03
6.449584277953518408e-02 -1.240771668651076409e-02 2.093214533502682495e-03
6.297431780619083819e-02 -1.266197051238074356e-02 2.382146752424346703e-03
6.445313309022068782e-02 -1.060450026545947666e-02 3.449645916937124634e-03
6.297489215563029097e-02 -1.304209718723745026e-02 -1.975206783272343003e-04
6.415753979845262300e-02 -1.052327023779867088e-02 2.076948174948411996e-03
6.276773733322102422e-02 -1.052954718468418482e-02 3.391401826728770996e-03
6.364511460431113155e-02 -1.020055912233729101e-02 1.762005882990358430e-03
6.275804160338449567e-02 -1.068394855336332605e-02 3.792977782915610274e-03
6.423357235740195792e-02 -1.209327822338633618e-02 2.562658918976862266e-03
6.424069859837777674e-02 -1.006098439459848781e-02 3.742192002212957336e-03
6.452890474219616368e-02 -1.083924281514395127e-02 1.322336811971386306e-03
6.485150861850350057e-02 -1.055994170443178004e-02 -5.823899916896912998e-04
6.489266225436179925e-02 -1.021943345836447137e-02 4.350040722645401314e-03
6.284182345303138129e-02 -1.040912440727181920e-02 3.623738801211334737e-03
6.241702597189333068e-02 -1.121115807702478817e-02 1.340978544704565789e-03
6.465618880903592491e-02 -9.849665868927576229e-03 3.008941137315729319e-03
