logz logzerr logvol nlive logl logwt insert_order
-9.044556835547778755e+06 1.207302776999277655e-01 -7.796154146971186194e-02 3.700000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556802757956088e+06 1.100015744290678832e-01 -8.066790306745480477e-02 3.690000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556771009257063e+06 1.161674971866252376e-01 -8.338160893905106896e-02 3.680000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556740237599239e+06 1.225023022061313693e-01 -8.610269905341172425e-02 3.670000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556710384635255e+06 1.131614341548050490e-01 -8.883121370661574423e-02 3.660000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556681397099048e+06 1.054366856891637561e-01 -9.156719352549048951e-02 3.650000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556653226222843e+06 9.505985782042969401e-02 -9.431067947124133211e-02 3.640000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556625827249140e+06 8.961077217030656572e-02 -9.706171284313121206e-02 3.630000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556599159002304e+06 9.439150007535566933e-02 -9.982033528221093133e-02 3.620000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556573183516040e+06 8.143318728227889880e-02 -1.025865887751010730e-01 3.610000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556547865707427e+06 7.394633818630294564e-02 -1.053605156578263091e-01 3.600000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556523173095658e+06 7.100798537061572824e-02 -1.081421586197031243e-01 3.590000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556499075543135e+06 6.579179078945786296e-02 -1.109315607072816900e-01 3.580000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556475545044988e+06 7.060039886405597431e-02 -1.137287653283429179e-01 3.570000000000000000e+02 -9.044554245280610397e+06 -9.044560238145390525e+06 1.467787114845938268e+00
-9.044560238145390525e+06 3.410057505158704760e+00 -1.165298857765221935e-01 3.570000000000000000e+02 -9.218807135053914681e+04 -9.219406701643999259e+04 1.081232492997198813e+00
-9.219406701643999259e+04 4.413575302946938202e+06 -1.193310062247014691e-01 3.570000000000000000e+02 -9.159658346374319808e+04 -9.160258193076449970e+04 7.563025210084033390e-01
