k1 k2
7.893948047930493539e-02 -1.516327869228595304e-02
7.827296979967640622e-02 -1.746203078793920338e-02
7.906470218640967995e-02 -1.611384344957400572e-02
7.939266937483901998e-02 -1.524630023455683658e-02
8.008457190076814780e-02 -1.621260574733270066e-02
7.879554727351792409e-02 -1.697541447553593819e-02
8.009389601142788417e-02 -1.514386088197330893e-02
8.152092262945195844e-02 -1.729335652305030724e-02
8.050429198570671629e-02 -1.566253928092395387e-02
7.985550620160711266e-02 -1.770094183603282412e-02
8.039169755850808508e-02 -1.681668762841406761e-02
8.124228803206492988e-02 -1.517924402078013602e-02
8.087118929779948950e-02 -1.643314859913576342e-02
7.986371056445495942e-02 -1.780296651002924446e-02
7.945684346274023424e-02 -1.734737068073970157e-02
8.028704604686973112e-02 -1.578455092223193801e-02
8.042257037077304993e-02 -1.566858996688137717e-02
8.165773299727216439e-02 -1.594313698867730333e-02
8.021410759098560050e-02 -1.545285958504583057e-02
7.887492153192240951e-02 -1.647392617969452300e-02
8.041213862196103235e-02 -1.719684813932527423e-02
7.982084757107568707e-02 -1.529634730426555900e-02
7.997150340572278804e-02 -1.675564706432365603e-02
7.946508554412376468e-02 -1.558044712271992871e-02
8.102456696680349069e-02 -1.689776265443050651e-02
8.075221405787857964e-02 -1.545080259786878185e-02
7.981836243768392070e-02 -1.740770722581165553e-02
7.990381432879906098e-02 -1.694046818303747426e-02
8.229571712392111382e-02 -1.663094705069054213e-02
8.070942148802084937e-02 -1.666954500081903323e-02
7.910458240637963101e-02 -1.827926185330820685e-02
7.858342569553364299e-02 -1.641833369277709287e-02
8.050920027552851965e-02 -1.693367091719225059e-02
7.946277788054217917e-02 -1.759152230590725619e-02
7.864894108878539569e-02 -1.758230055683820958e-02
7.846461985361161129e-02 -1.691090816604202962e-02
8.073276587267250171e-02 -1.601341417639699782e-02
7.921741825967951178e-02 -1.613529161659428557e-02
8.047934483766105984e-02 -1.656978890010431249e-02
7.906080535381562746e-02 -1.622235747844151532e-02
8.074528395604682607e-02 -1.697631268056983000e-02
7.979603072046626000e-02 -1.772382184981988185e-02
7.937157210524781181e-02 -1.728923323282136049e-02
8.020546687797311391e-02 -1.762597105918710383e-02
8.010858611537105545e-02 -1.551687437924041679e-02
8.022937832978335737e-02 -1.687812487193984801e-02
7.964383598916974227e-02 -1.610260109979191889e-02
8.137095102211386322e-02 -1.764167796598783977e-02
7.937157210524781181e-02 -1.728923323282136049e-02
8.115528131022173297e-02 -1.713074645096653026e-02
7.881138660006928309e-02 -1.742519163959853346e-02
8.133527498086362550e-02 -1.488884197911084784e-02
8.017232405536792172e-02 -1.503023052109693503e-02
7.983584553641903669e-02 -1.667002065203679328e-02
8.046874708815909827e-02 -1.635647075923718496e-02
7.998519312609908560e-02 -1.526384656976356724e-02
8.095289980832418020e-02 -1.674155406637151122e-02
7.899617670074229880e-02 -1.720994296589822836e-02
7.915479720375986905e-02 -1.592808371773822562e-02
7.924441614968449898e-02 -1.701630648023644277e-02
7.919482026110502559e-02 -1.718739486546065620e-02
7.846345651060909754e-02 -1.593988891166925326e-02
8.087003537408207765e-02 -1.638277034682443511e-02
7.955751560480711637e-02 -1.622232655730235229e-02
8.006452517408074732e-02 -1.621619654771092045e-02
7.928007352901508820e-02 -1.660703319534877209e-02
8.044059727916430536e-02 -1.609430493292206277e-02
8.022177870981969661e-02 -1.561778592293870671e-02
8.028072457371424053e-02 -1.562886324767290280e-02
7.985951960379317205e-02 -1.635237534698787132e-02
8.119594489724935027e-02 -1.661329132632331784e-02
8.021788521545111794e-02 -1.551378128908664777e-02
8.045173381078712938e-02 -1.549644762159421707e-02
7.981397336285570021e-02 -1.648697259309468699e-02
7.966014642386667899e-02 -1.449413852127469371e-02
7.955300311625132514e-02 -1.538253156287672230e-02
8.010045361583709167e-02 -1.703131743149960409e-02
7.888967272707897438e-02 -1.653097569068784356e-02
7.928263828205281416e-02 -1.705865615398005630e-02
7.955300311625132514e-02 -1.538253156287672230e-02
8.047978714299006131e-02 -1.685762494595748062e-02
7.998519312609908560e-02 -1.526384656976356724e-02
7.984102819105720616e-02 -1.753328380346461102e-02
8.028219560971677771e-02 -1.609165565820429300e-02
7.853778806990932559e-02 -1.619723223886222752e-02
8.001161388918570649e-02 -1.626699858985107550e-02
7.931164110641680809e-02 -1.633463187413902729e-02
7.952645657296464332e-02 -1.613620460026883585e-02
8.054369803598374067e-02 -1.616238981915940620e-02
8.018140410543023178e-02 -1.526260712615465365e-02
8.050936848689307923e-02 -1.538897318496909583e-02
7.933814240528500039e-02 -1.565289060620592143e-02
7.965794762289868380e-02 -1.643779895865186969e-02
7.952310434371628878e-02 -1.732469411664641634e-02
8.054354976084229789e-02 -1.788580927006175325e-02
7.948703098153694913e-02 -1.623602896151196684e-02
8.074020270619028383e-02 -1.635323594445704798e-02
7.870689387986756769e-02 -1.717217966808068375e-02
7.954454428334284399e-02 -1.607491531661234263e-02
7.971385985784604222e-02 -1.650574199598861536e-02
8.133662784573911231e-02 -1.561176764650465398e-02
8.085597967858082491e-02 -1.647905995828441439e-02
