k1 k2 k3 k4
6.383892229682519570e-02 -1.047737703196641168e-02 1.854000711384001798e-03 -1.136752082138453579e-03
6.301056205578045577e-02 -8.992436240330983765e-03 2.670637468530759340e-03 -2.350861903532563968e-04
6.368062868792814801e-02 -1.061741422708897820e-02 -4.709136791228307750e-04 -1.444389824518027554e-03
6.317531781014265602e-02 -9.173031264952724584e-03 3.276529006972020430e-03 -6.145516140852458342e-04
6.415672899077312641e-02 -1.106981896543561550e-02 2.002266743450123454e-03 -4.474899525636344411e-04
6.295058527499722278e-02 -1.078697909938762522e-02 2.123929407615146592e-03 -6.781999749393141652e-04
6.289879129815489911e-02 -1.004807665074926304e-02 2.482110644563134683e-03 -5.257491055192520246e-05
6.317361046227876198e-02 -9.275821133541112262e-03 1.374328585835457583e-03 1.178750382599222379e-03
6.237227333172343235e-02 -9.705924806036200780e-03 1.934727841425315509e-03 -1.364335695843432728e-03
6.292350844086586070e-02 -9.984664147244609600e-03 2.807207898194302720e-03 -7.895153201636639917e-04
6.439156015565347668e-02 -8.596510105853799599e-03 2.507862717839398625e-03 -4.975665405526769058e-04
6.377266086484617569e-02 -9.121894007622477485e-03 2.393865909224107691e-03 -1.963790107006591068e-04
6.317092284331357610e-02 -8.460861885637049884e-03 2.707028341439141061e-03 -9.222931430089842397e-04
6.407533811800550372e-02 -8.893333134147807240e-03 4.097516767274142491e-03 3.985592472505461448e-04
6.294370499672508057e-02 -9.774658386594720083e-03 1.215205656233009357e-03 -9.814492223600562726e-04
6.349614512677431710e-02 -8.275419871566269681e-03 2.002984171360355781e-03 -1.377416605139722416e-03
6.377328238821167172e-02 -9.162420426524015005e-03 2.276636101752799179e-03 -1.197353719199087396e-03
6.358727313403836345e-02 -9.995865098068906773e-03 1.609511875729996433e-03 -7.348365746640689311e-04
6.493583056796878306e-02 -9.013215218527922956e-03 1.708695746428665063e-03 4.390041325046389886e-04
6.396988508957299202e-02 -9.305359405420404739e-03 2.974840867897718399e-03 -8.128840305010320844e-04
6.300360082425543462e-02 -8.958620576529421897e-03 3.254424931586036296e-03 -1.476569140595185292e-04
6.458588682630825306e-02 -9.322887258440243352e-03 1.186283692121842259e-03 -2.204073691050342787e-03
6.371629906842538049e-02 -9.879875918579111849e-03 2.124943554402403123e-03 -4.884147058363264016e-04
6.367908481826500822e-02 -9.224625584123125055e-03 2.377919696196453825e-03 -2.015339483409664401e-03
6.351728428927508330e-02 -7.995330075488096822e-03 2.642447656046376103e-03 4.603704837373018277e-04
6.488422372914889880e-02 -9.377903016472580178e-03 1.940240681358867958e-03 -1.080475249355034029e-03
6.389636885417851464e-02 -8.663733793389277738e-03 1.767168314274175644e-03 -1.822322211314592044e-03
6.357513536191414238e-02 -1.056195650724012225e-02 2.591695994741002873e-03 -3.929473548124895466e-04
6.422522651426987306e-02 -9.473186412468859174e-03 2.321581064617966872e-03 -9.947355884025593786e-04
6.411207562938864291e-02 -1.067697224181736460e-02 2.118424568557125687e-03 -5.270264207279107271e-04
6.214427173032874285e-02 -9.859032412998541828e-03 3.737369473534382647e-03 -1.894185778961360311e-03
6.373159891123023058e-02 -9.436624966020421001e-03 3.618493730837848976e-03 6.533603902049156531e-04
6.411191731193904841e-02 -9.005151428958552140e-03 2.757993342787881663e-03 -6.757757814800924301e-04
6.308766298903842329e-02 -8.769277750776238722e-03 2.850990541416437152e-03 -1.951164275453970420e-04
6.430821086044663515e-02 -9.299016088323189266e-03 1.758086839576011862e-03 -4.543284394069452281e-04
