weight logl k1 k2 k3 k4 k5
0.000000000000000000e+00 -1.381551055796427280e+07 2.484052948012023254e-01 6.226910847850005704e-01 9.078385104707982212e-01 7.734687203764432084e-01 5.125812852889822802e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.265282148175949750e-01 3.034653473294682824e-01 8.575021299377005857e-02 6.046816268729671151e-01 1.502861495575424922e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.070795583236414217e-01 5.160527939558894328e-01 8.245816013056661564e-02 1.106825427536038964e-01 6.051950307343194613e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.833141376169520109e-01 9.047009103142350517e-01 7.179610427475857648e-01 6.681026157344793770e-02 2.302819948483040280e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.347691494888993535e-02 8.581471990514373260e-01 8.665716953752872209e-01 9.122813549305535119e-01 6.436475201346127939e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.577693543469407045e-01 6.213862869051389737e-01 8.891067526178292324e-01 9.752847891704216066e-01 1.562232156439193886e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.091894129710520911e-01 5.872348264738835866e-01 2.063623133319258951e-02 8.347634454798112946e-01 5.279890914467745278e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.032790783957678427e-01 1.406854551655976060e-01 4.940450776941308630e-01 6.865242657493986211e-02 1.898284512159761350e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.297224167479576362e-01 8.959363077188562396e-01 3.408735961098061651e-01 8.312650834864433458e-01 6.083817613654440848e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.174994321717188317e-02 5.570959239711831268e-01 7.938925445577761364e-01 6.403127010841332956e-01 9.361696248087960637e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.773893645133892916e-01 6.334482703328528919e-01 5.657026599307424242e-02 2.362980461023992396e-01 1.117785404363346169e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.538783290038658880e-01 1.995961700535087147e-02 5.562605475619057938e-01 6.867336404577126796e-01 8.201929091938239269e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.484268869180036532e-01 5.704553447020266344e-01 9.189030938808488980e-01 6.880285516192963247e-01 6.158077699030539698e-03
0.000000000000000000e+00 -1.381551055796427280e+07 9.048304555919555181e-01 7.849730593722015204e-01 9.782836570839067436e-01 1.414949335072653858e-01 5.403794908796200058e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.820412031546509324e-01 2.265656175009733708e-02 3.164284208727408121e-02 1.711876273142086680e-01 5.307804049388931134e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.218001010735030976e-01 3.704009959145715403e-02 6.210294794253377049e-01 2.605530770144189878e-01 2.525439047118807068e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.180324820976470956e-01 5.425307750515006022e-01 4.524932572666077180e-01 7.951925585559627141e-02 9.658829966183295479e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.678571115639839295e-02 8.440607973777890516e-01 9.818104417051209953e-01 6.452232625301380642e-01 6.801183583316300352e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.429921242564479167e-01 3.215808445597989618e-02 1.064084799358203659e-01 4.030797363273780354e-01 2.388529593438126764e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.426337477002243892e-01 9.736295094042812792e-01 6.778708153303427686e-01 9.022094830557852996e-01 1.022664639666855946e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.723800605177497225e-01 2.542597685492071768e-01 9.162290886877455520e-01 8.876305953881407085e-01 7.465320264537693706e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.378371706982992384e-01 3.542235891259195579e-01 1.196516474215036929e-03 7.414089284502894950e-01 8.847553244990946641e-02
0.000000000000000000e+00 -1.381551055796427280e+07 6.307054181007095695e-01 7.344290646896560748e-01 3.412678380115963250e-02 8.375264505449669938e-01 9.805040504198407891e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.684324205661137608e-01 2.835219416475592835e-01 2.151104059508347488e-01 1.883477238847397484e-02 9.602576568927601031e-03
0.000000000000000000e+00 -1.381551055796427280e+07 6.781181137890567312e-01 9.902595250799857141e-01 1.595893647139957627e-01 9.370698197210214353e-01 9.203950877425757238e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.727161767701242745e-01 5.609562889386491280e-01 8.495364428464633466e-01 4.926660176251829171e-02 7.753692385949906285e-02
0.000000000000000000e+00 -1.381551055796427280e+07 2.777098415385403918e-02 7.473029884625476127e-01 9.907966897174284027e-01 6.953114557896223902e-01 7.952450480402181165e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.196826805224781243e-01 8.957024288898775000e-01 4.466314648832366840e-01 2.617965343468912076e-01 1.146876364686244543e-03
0.000000000000000000e+00 -1.381551055796427280e+07 2.340837358404681545e-01 1.246101045780141359e-01 7.775505439230334659e-04 2.841285779645019716e-01 7.112050293751234209e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.290972566854733827e-02 8.856975965624118707e-01 8.164933602638214660e-01 9.526521338741484879e-01 3.391964861423062416e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.084470546489636478e-01 6.204085134929230305e-01 9.136799853460352283e-01 1.697265793730855510e-01 8.075782197730614342e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.728794452184410524e-01 6.721606157401056603e-01 6.956183675319571602e-01 1.997132419515517121e-01 9.177865760275950580e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.773967753835707928e-02 3.494717898569593695e-01 9.720310819828654747e-01 2.406183973763176276e-02 8.504362707879440375e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.888167484777556915e-01 7.669327956601739160e-01 3.279399277822558911e-02 5.158174858897769388e-01 3.232457478588460775e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.568300522707590350e-01 2.929640986585354545e-01 6.555448558414557203e-01 4.578466534713498959e-03 6.244225846004548552e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.876834276275634039e-01 1.970825493420886865e-01 2.241511673990645992e-01 1.998735820032354615e-01 8.271860453991797257e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.944641160166174387e-01 9.623981157524854613e-01 1.930219766006577853e-01 7.962684053440396426e-01 9.232713804939823854e-01
