,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23
3225,-0.04852730652060394,1.9612016209306,-0.723221058985025,-1.29642322439012,1.40489498306065,-0.552029731664262,-1.70544525560007,2.93186784304731,0.275310489321058,-1.46647112233196,2.32489448900166,-0.389475032318216,0.866733968554961,1.15742322589183,-1.90906032552541,1.53108479198679,0.07540942862342397,-2.54301365744595,-2.19241987969235,0.526464893130225,1.75680190496126,0.708676410730426,-1.03622546515377,-0.269023689601155
3226,0.06090476586661647,2.09226940608857,-0.807641499167375,-1.09240008652789,1.39584355749298,-0.55136785297242,-1.62711496766366,2.96341944295685,0.358090289196915,-1.40296511337955,2.77644821338716,-0.304492834204354,0.909664701510222,1.33874174559663,-1.85196696643539,1.61454860875752,0.201884113338806,-2.34347800092388,-2.14496806943537,0.551858683433266,1.82519184511364,0.671839781356211,-0.988870048247557,-0.104004050043628
3227,-0.0859031360761766,2.08827776432211,-0.8741212415868,-1.07561033238039,1.32036812299496,-0.627189839398604,-1.52024378496906,2.91375378078594,0.340081450762092,-1.34304575220037,2.5144951978119,-0.414706965758825,0.912308001163481,1.21034221841093,-1.91298311101972,1.69671002589846,0.09023493464084667,-2.87894578723194,-2.20349444189272,0.396281462520804,1.76039995421473,0.741763128880293,-1.00038261327188,-0.295787571071522
3228,-0.07271122134066065,2.07150998129624,-0.864810946088489,-1.40697310157076,1.17202553196085,-0.668539913775908,-1.69318958946194,2.75581349464303,0.312443901768092,-1.50182700335225,2.23459159470041,-0.448358868586943,0.954104082280097,1.02265499955054,-2.04235931896088,1.4456256607059,0.179258111678764,-2.74315108877658,-2.31144974085333,0.480549396395781,1.59034646571751,0.682729663925877,-1.12473272615989,-0.433596760012768
3229,-0.101491978491973,2.16754369707009,-0.795652548743016,-1.19172196477592,1.25634394048599,-0.589168906937191,-1.74908768023391,2.78301303997129,0.336411704277237,-1.32541537169024,2.3091285011932,-0.411815818763268,0.941077980256791,1.00291482118638,-1.93559673541062,1.6141659536546,0.04493805173507864,-2.67980862085614,-2.35868510632474,0.467317251859255,1.74906536440753,0.633735594446682,-0.994499981651645,-0.34951342181431
3230,-0.184138761071678,1.72748513005662,-1.02000434876287,-1.41486272447216,1.03177783055445,-0.949612133971164,-1.81830680313442,2.47887555638857,0.219922827010259,-1.73994603595111,2.19744508451553,-0.591099238832213,0.742170852730973,0.895384308852663,-2.31403569352128,1.33503080911037,0.02083080770148714,2.95516213314853,-2.48473028597909,0.401434104524378,1.46362015425672,0.582567910537997,-1.15012384093227,-0.467748415593554
3231,-0.384431598805395,1.60677952256855,-1.18725234093786,-1.69678000736274,0.959707035438786,-1.13954005632614,-2.07386079849901,2.02431452476176,0.008318178907917589,-1.83367231691101,1.80956048069232,-0.708196481182621,0.54612765166441,0.703530710500222,-2.71215356092197,1.02388273986627,-0.198743569942234,2.31367255085068,-3.04966236986426,0.174627140430662,1.36659775779325,0.33594017576559,-1.49282895946346,-0.569414757647873
3232,-0.409154169527469,1.53628604299223,-1.37155588603835,-1.64560752949227,0.88809110315055,-1.18508377364704,-2.06595963125297,2.07209441794951,-0.07058512274276331,-1.83763830977056,1.69945437450054,-0.993679960861073,0.551087331854752,0.69696338860799,-2.55659696263137,1.18063267241596,-0.184872713761074,2.28799603060168,2.68813310653652,0.142725105906443,1.30424333043589,0.34212175146493,-1.51191897643739,-0.617901786182557
3233,-0.478813355609166,1.51701528199782,-1.23032163507186,-1.78937190070929,0.78497199598814,-1.07308129440824,-2.2249649210582,2.04946855452856,-0.101177549191906,-1.86717661701113,1.83042927276132,-0.802509588512532,0.518484015508019,0.700720709633682,-2.7287279120253,1.1095338374991,-0.381089206461926,2.27256042497228,2.55922273215959,0.003834007076665632,1.41683457365506,0.181323422811605,-1.38759979469481,-0.519701438419713
3234,-0.322344916726567,1.84683173013424,-0.96848578427841,-1.47048668147685,1.16008643571664,-0.910863597057559,-1.97652047464844,2.30651450325258,-0.02189316585684068,-1.71758098969455,1.96445852264339,-0.786148769937401,0.628414417361154,0.843309714362452,-2.31002828944721,1.20787276464269,-0.117370783888762,2.65152008352202,2.96284284860052,0.170013887885671,1.44824488502672,0.302649951643336,-1.29911885455796,-0.569037858562655
3235,-0.40224713072339,1.59165487871005,-1.25879652141605,-1.58985177195389,0.923546923532419,-1.02809841843463,-2.15451170792228,2.02596116207005,-0.01269960385865854,-1.98883239622355,1.75511620926331,-0.683085969791529,0.542005603426047,0.736553267207389,-2.67940491756747,1.15470825523195,-0.157776876382202,2.41903596057969,-2.91116550589585,0.169812286757638,1.36881446045125,0.315950039251027,-1.3665795258712,-0.523083585523872
3236,-0.54646999998159,1.37585914981362,-1.35532494166394,-2.0013521225928,0.85886577982093,-1.11503461236681,-2.38271545295268,1.76317593694616,-0.04815554437470197,-2.1728173266943,1.71694917579372,-0.986426793880015,0.459537276620039,0.547953692339738,-2.54544261256303,1.03279330791478,-0.425963180497029,2.07735816533707,2.37913205066418,0.06732694351057164,1.21132513755612,0.215621456552177,-1.60545487793671,-0.698317766340658
