,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31
211,-1.24927735211226,1.86478389629609,2.46435369937229,-2.10133545579016,-0.225320366871459,2.65910953437222,1.50933829253519,1.63551045694,1.0034788644137,1.21627900329867,-1.64736625193105,-1.81874994953581,-0.813159707469402,-2.66597667501955,0.920354494904417,0.07432992403601899,0.623506596994523,-0.07606999248444435,2.93175393657524,0.517454209446055,-1.07101005976402,-0.962212061814645,-0.463189858260583,2.20706145215347,1.29930060007631,0.221762091004138,-3.00141546265657,-1.41244848376592,0.374765696322796,-0.372419325311688,-2.21748881557594,-0.694343165725901
212,-1.04000590356613,2.23254909218142,2.98320099238886,-1.68099485630292,0.07254542551218919,3.09602979585956,1.93190194766983,2.16928845036024,1.27422134265762,1.45737134402961,-1.38570647856793,-1.47603544341397,-0.45827520285399,-1.97665965303338,1.22203811867476,0.323522605958467,1.04336106816921,0.223806953569462,-2.47916256921113,0.793859017481783,-0.837289453634559,-0.625315772290505,-0.1977346499245,2.4773649665365,1.68013287432941,0.493707952362037,-2.23141120332433,-1.18720764689455,0.553284265097563,-0.133008901188526,-1.82935755812205,-0.295306856011908
213,-1.11727978735096,2.09185558295472,2.62587711922122,-1.84339098508757,0.01269806747579593,3.10178276222485,1.72084759780898,1.82957367195776,1.23602136142118,1.39890569279164,-1.43943604906158,-1.67882173796918,-0.65710493302289,-2.19992438529509,1.10835407986632,0.233516857221627,0.867086781671976,0.07386816210766683,-2.97083781836659,0.560443821100211,-0.947151653640849,-0.859718420890815,-0.381852713644916,2.24786389640853,1.53457085276956,0.402787164557889,-2.57797026418309,-1.23981851007212,0.503155602614653,-0.239246485804648,-2.0548217034675,-0.482847282159901
214,-0.76778033771455,2.67444422324031,-3.07136009279815,-1.44686657175494,0.168651074886861,-2.70194812859551,2.22448875191533,2.41851498606197,1.38927478220852,1.60007901900046,-1.09002879213625,-1.36859604154585,-0.329715284967671,-1.9826436090682,1.26682168687128,0.429715245695696,1.12147401113195,0.337933286442844,-2.51481512042034,0.937874532480215,-0.660210264901993,-0.489172726789626,-0.09537823955661509,2.98826537460888,1.78585908526145,0.627091393521564,-2.07511243774216,-0.973314127450078,0.77285107742902,0.03603299709986415,-1.71603642520561,-0.171989000694801
215,-0.70057529981615,2.71841127767044,-2.85710518780115,-1.42184330342116,0.220383594336657,-2.51453884764149,2.1312564996173,2.3970573118074,1.6071465891766,1.6982504190495,-1.02653388194511,-1.23662999982335,-0.330401550172385,-1.7244125191728,1.38824247034416,0.591295631058129,1.23583734000771,0.321830863371977,-2.42023776378969,1.07837952499142,-0.606476149671235,-0.53457050129995,-0.03172029005178091,2.98412283109454,1.91837636518004,0.710382932000633,-2.03304351130867,-0.959968859778068,0.792947224203559,-0.02196827879842301,-1.64599372164369,-0.171500993587983
216,-0.787931805574815,2.51800498418653,-3.0745614886375,-1.50154752470733,0.186643269563509,-2.57595575708883,2.09512428659484,2.35992555593561,1.43919091448556,1.67143375078707,-1.05785184569013,-1.20024894211814,-0.335970153848388,-1.92876276442247,1.28963605253552,0.414302192507406,1.22225961916091,0.363977802096508,-2.28698574401897,1.07842610023452,-0.684996395549501,-0.547392543554077,-0.180909035054024,2.90086530492605,1.82842909510536,0.548565813904545,-2.13862019707107,-0.888349610183678,0.759548527352704,0.01874143513432676,-1.72600704559183,-0.228877649750061
217,-0.947260796677196,2.34967417922174,-2.94703891210048,-1.41258370250205,0.178519543004329,-2.65141862646166,2.09124510043742,2.30758439485711,1.51478568607597,1.73173763589427,-1.16915688323325,-1.28884077390554,-0.441203612909426,-1.88185745072142,1.29120034135736,0.514638863029313,1.12486715259114,0.338270695032911,-2.34325249145674,0.957055494980169,-0.684628768087933,-0.547368565867872,-0.05246351736664515,2.92009035576555,1.83155504093315,0.673127776213844,-2.07646420533832,-1.08869430615858,0.796161713170042,0.09237416441154665,-1.68405008172562,-0.206326360546619
218,-1.08552646964403,1.98821752481083,2.36000948853497,-1.8993155635463,-0.164154691443806,2.91417717824833,1.58770594259109,1.8345340989115,1.22880715491016,1.25859185479161,-1.50424390779901,-1.76499967284434,-0.767388752878129,-2.26558104314995,1.08389887686415,0.11179760210712,0.91263922765515,-0.002834572238174074,-2.91702364802672,0.704230744439385,-0.972561569342124,-0.863926538236373,-0.399357381607158,2.15545441531243,1.45614870677092,0.343699204531917,-2.51584952387351,-1.17839989142726,0.569321913448898,-0.257008212751031,-2.11542598975602,-0.623789517889752
219,-0.908953176943044,2.24503802108415,2.83182915931056,-1.64138243428801,0.122365561550589,-2.72608468223202,1.93025093970503,2.12983067774381,1.28548800426325,1.50590577833666,-1.21957369298106,-1.38774532236578,-0.517645974501039,-2.0406619104291,1.15134911099271,0.382670148544205,1.03990071523326,0.181446001290342,-2.66008184097355,0.82716813727225,-0.827502615293737,-0.664241584802872,-0.296709023111073,2.69762509042636,1.76608734374502,0.51425310625678,-2.45134863746564,-1.07684802402641,0.599016675025175,-0.04902086644989971,-1.8415821406967,-0.351683838265916
220,-1.21250210674544,1.86880918632347,2.29361364537162,-2.30824925354695,-0.291802260281429,2.54635413127562,1.3292746761846,1.49948348275564,0.89286596062324,0.956229483591521,-1.81531850595817,-2.05302300748404,-0.886608320557827,-2.80791382526357,0.737170480920108,0.09145778484696424,0.522874567997666,-0.188026756250491,2.92316901763218,0.421027443556445,-1.10029434550099,-1.06435173737003,-0.51636157107246,1.9792151838481,1.18208850117235,0.133634491409658,-3.11245536786363,-1.63113953669743,0.328673075625021,-0.406071026219687,-2.47655289315234,-0.655394901326419
221,-1.05558979473214,2.1175872559904,2.58421045324193,-1.9341760539845,-0.146179196406231,2.98725856359426,1.60876628226223,1.89584605602929,1.10938627731232,1.2508674180529,-1.47675433973061,-1.60454005255188,-0.646540462495916,-2.39822139500607,0.912768743788217,0.17653113336407,0.847692649991079,0.103192366386463,-3.00842006935166,0.6301558993717,-0.938857849610757,-0.856996167991171,-0.423424619943947,2.31661395019981,1.3987553684411,0.374468884270912,-2.75455163982849,-1.34606881999994,0.552516319066049,-0.321813751108098,-2.11249935158563,-0.513348893822246
222,-0.920165456372081,2.58420870926748,3.11484564115411,-1.58752692973878,0.108271277151371,-2.8357356243424,1.90728876910114,2.1225380682294,1.41262871355812,1.55161779109982,-1.29988317071918,-1.43528857818562,-0.351949406945015,-1.89127684020191,1.24720906813619,0.528312901045287,1.10511933157976,0.356471536912088,-2.31559841657339,0.963223020787205,-0.796971222946436,-0.569829752728346,-0.147374238531758,2.84141345582476,1.68648532863468,0.591003712388177,-2.04611969541403,-1.10570104466811,0.847302408871269,-0.04026947663041634,-1.7142205653669,-0.266630764179042
223,-1.04112356489258,2.03328151166602,2.52513064599646,-1.94110757814539,-0.02426662222831578,-3.0878041967012,1.76810947964916,1.89149165950142,1.27893525268356,1.42810736853354,-1.45887453530543,-1.63599717575545,-0.600655594408485,-2.14584845457795,1.15918527526312,0.230292501363664,0.88836556458806,0.184486127273273,-2.62480207493838,0.727227539180758,-0.917940732541872,-0.808110420016588,-0.286861052073791,2.26810743055808,1.56779559142564,0.369766961149257,-2.4364041915995,-1.3058139526787,0.555947047684096,-0.181403118474971,-2.06327487571711,-0.566400288271179
224,-1.41403008982492,1.74825918711613,2.14109710785626,-2.22390933943912,-0.314072690028343,2.36313825087142,1.27902089814929,1.53011678242261,0.795266845541141,0.999129432407923,-1.83342044196482,-1.99404105671579,-0.950141575357399,-2.78228878955124,0.600881063904728,-0.152246947142726,0.491224012738212,-0.216361770823015,2.46910751792553,0.375359234894873,-1.27129954512018,-1.16717580134824,-0.547973365568356,2.02098421961801,1.20789656023354,0.09027450881434129,2.91119147054211,-1.64193219076671,0.198619517164631,-0.451028174248076,-2.73846133074672,-0.770240886928267
225,-0.948479784585321,2.30806411250731,3.05789896538429,-1.52258480265094,0.07466935898027274,-2.97239417279392,1.96978510575332,2.20082057931026,1.24150097340767,1.48022414770939,-1.27820793266632,-1.41086540684513,-0.418625497538641,-1.98474262962495,1.18158428752137,0.392064224596937,0.960791387697104,0.193791103425931,-2.55086444848534,0.844874667341502,-0.854269815132618,-0.686928227176553,-0.193716598355645,2.63263634791191,1.71439334357231,0.463923190377617,-2.30683273575639,-1.12593720343704,0.724042312781186,-0.01157071148969322,-1.89443663548694,-0.238945150941702
226,-1.00865448907273,2.31912280618589,2.77545066743288,-1.71701650125666,-0.04971911695065481,3.01381826231532,1.78558369292763,2.06759870486078,1.23386832771379,1.40333870845707,-1.29668423773894,-1.49379658313439,-0.478064873136535,-2.18188156465059,1.15191820336485,0.220832476449097,0.892847469835967,0.136921767596295,-2.87976768947558,0.583549713615492,-0.847484064470562,-0.681940050609299,-0.29387424046347,2.50825921169535,1.66339422967184,0.42074528272418,-2.51318082582455,-1.18418974073628,0.484438474192178,-0.163036120364337,-1.96152140164562,-0.424062117103634
227,-0.892041292266066,2.44661211508653,-3.09492783784938,-1.54222268774248,0.211220256266834,-2.77544693119995,2.08844374040845,2.27792771722021,1.43902485922701,1.51772590490027,-1.27296179563979,-1.43398029399243,-0.36426351068819,-1.92587823034393,1.24584408858051,0.450460514172821,1.0513016222364,0.298724821235412,-2.30720028280502,0.883489796031082,-0.697621345741842,-0.568292725193409,-0.05393640022155759,2.87739090138514,1.88309591065343,0.566338616486412,-2.1222995594881,-0.978764057827235,0.755315343662818,0.09484873104461201,-1.79241971774796,-0.264550815636838
