weight logl k1 k2 k3 k4
0.000000000000000000e+00 -1.381551055796427280e+07 7.538178808897105787e-02 -1.775764746335437017e-02 9.964568567880158212e-02 -5.130671447515829098e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.921764944361599614e-02 -5.441415610373559475e-02 4.561524180335777001e-02 -3.744114346470110710e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -3.237723368770979715e-02 -7.185192992413612367e-02 -6.895476194866863306e-02 -5.206250983681948163e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.689281098877218223e-02 1.965463571808764853e-02 -8.934483228132390764e-02 -7.305084872186380640e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -1.169003228014517393e-02 7.670021124380138611e-02 7.872205240468999055e-02 7.285398492370193102e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.255257147094316961e-02 2.170776785245978613e-02 -6.152499676366467857e-02 -7.363848775347708875e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.929839968335588130e-02 3.615233614969343146e-02 1.488190795282540169e-02 9.279715289720771865e-02
0.000000000000000000e+00 -1.381551055796427280e+07 6.819442116511406637e-02 7.709189164323915211e-02 -6.283486795075306219e-02 7.768728953425335648e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.881773490721487530e-02 -3.827415421840474341e-02 5.622880492404019881e-02 -5.530614120042849635e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.540267667470699542e-02 3.299531873115654768e-02 -8.717605966440432341e-02 6.442789894772957271e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.550164345793962783e-02 -9.046295238067843247e-02 9.258906914163950175e-04 8.690760959367851979e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.676888188765329524e-02 9.710292880600235321e-02 -7.551317779454690127e-02 3.102684247912593229e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -2.669622239488675386e-03 7.795160892076555270e-02 5.454887473222053140e-02 -7.226230686018451921e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.336567149373132701e-02 6.799120074957551441e-02 -6.695032361428776557e-02 5.683254774478199711e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.591598049812868898e-02 9.074728423257763521e-02 4.461985381789393412e-03 -9.764636852985991711e-02
0.000000000000000000e+00 -1.381551055796427280e+07 5.367490729096680013e-02 -5.693053420445191165e-02 6.413551628853417230e-02 -5.697197868202330540e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -8.974683176694382702e-02 -5.537586676583002021e-02 3.894166499303747253e-02 -5.986855772527036046e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -3.586230460874469117e-02 -8.457109995124022228e-02 -2.259881463267136847e-02 -7.164460509086470474e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.136365403639120308e-02 7.894475035090545156e-02 -6.492959203017154013e-02 -6.442514909008174862e-02
0.000000000000000000e+00 -1.381551055796427280e+07 3.290091480976103933e-02 -6.431465269422328990e-03 9.690159696185246530e-02 -6.745274611802704046e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -1.579490663784029192e-02 6.106078111904275629e-02 -8.893535397381198415e-02 8.352211533708917002e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.523967599352962554e-02 2.733103427992161771e-02 4.622219944704999972e-02 -8.698213551548646116e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -5.823422677603207198e-02 -4.514626833606563694e-02 -9.318992928576033674e-03 -5.373213353120698255e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.989513667326079482e-02 9.432838608391416746e-02 -9.813693348899371616e-02 3.493684007253952672e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.145699416099747514e-02 -6.937685785841779529e-02 -9.999486057797590810e-02 -5.328042799971316468e-03
0.000000000000000000e+00 -1.381551055796427280e+07 3.684267890466547124e-02 -2.106839557225895221e-02 5.077479608594001603e-02 -9.349847304032160578e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.511780678548640844e-02 -4.988836905300700342e-02 -4.160975452095343891e-02 -5.879497954555783917e-02
0.000000000000000000e+00 -1.381551055796427280e+07 6.203882404202082368e-02 -3.416778190152713890e-02 8.496715302521895552e-02 2.924814397754771367e-04
0.000000000000000000e+00 -1.381551055796427280e+07 9.992980835127621142e-02 -8.144062086880379803e-02 -2.463386864000738363e-02 -9.361202374101458556e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.615390003392098262e-02 -3.461925791385299378e-02 -6.695491010142912147e-03 9.680952314423116323e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.125331490761859343e-02 -6.300965066050619179e-02 3.234208351735048947e-02 -8.945942396152553600e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.002444462642616996e-02 -9.298479310755958238e-02 8.096079032144640197e-02 -9.665810616632138086e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -6.773204357112472263e-02 -5.884089244672471852e-03 -7.526884299452743510e-02 -8.317322017560246916e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.583615732627092321e-02 1.516451276523585190e-02 5.421436729789047559e-02 -6.575437913331580453e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.925789155312088052e-02 9.793279585882147531e-02 8.968362245220637408e-02 8.599428503966324855e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -8.807001867389195604e-02 5.805407083344293895e-02 6.761941986150166173e-02 4.130594237294840654e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -2.221763470219448311e-03 7.615659322384807361e-02 -8.428756664393875775e-02 9.927081635989129516e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -3.371182259233496126e-02 -6.575533646985157188e-02 -9.730913154081875793e-02 -4.681271252286428597e-03
0.000000000000000000e+00 -1.381551055796427280e+07 -8.583116686357245007e-02 -6.885403331503897606e-02 -7.506762459848220770e-02 2.130103506652630818e-03
0.000000000000000000e+00 -1.381551055796427280e+07 -8.313334024400582944e-02 1.675616586472013225e-02 -6.596957964317770595e-02 -5.088939726988692819e-02
0.000000000000000000e+00 -1.381551055796427280e+07 6.346194898407261920e-02 -5.318164837785797211e-02 3.613474533864249882e-02 -4.159617387497023533e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.832139308471950723e-02 -4.101336426664752705e-02 -4.221575425906094747e-02 -7.802117458092686086e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -8.198986066171583265e-02 -2.646409409368950805e-02 -7.466784561420930499e-02 -8.748375425959663276e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.485423856929295350e-02 -3.778000935877293132e-02 9.703168018112373616e-02 2.046572026121536159e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.468791361636140214e-02 -4.124027108215910786e-02 7.390137789835590776e-02 9.862052567673834647e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.290220337378217175e-02 -6.200298709377114609e-02 -7.845934370528546975e-02 -8.379269698139979461e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.198738897105992129e-02 5.270634320917821913e-02 6.544294169843684061e-02 -8.958909593542063732e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.819028259283345106e-03 -7.623329553422218685e-02 3.697242561812280615e-02 -9.354383427706239318e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.168431527622055377e-02 8.612061553819155835e-02 -6.291304791283436337e-02 5.642587092088463541e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -5.871616614321593236e-02 -9.964935678483069492e-02 8.222790958431394626e-02 -6.129253024603023570e-02
0.000000000000000000e+00 -1.381551055796427280e+07 4.138507858273926532e-02 -2.123852420615550407e-02 8.905863548993045442e-02 -6.956763796657282339e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -6.330549505809687783e-02 -3.614278775430367074e-02 -9.904421718046402257e-02 -9.606925916490285933e-02
0.000000000000000000e+00 -1.381551055796427280e+07 3.130228994255873642e-02 -9.045406081241841312e-02 -4.627225516988603404e-03 -8.624537917547264732e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.964137898162001017e-02 -6.432534651061312669e-02 4.528405441557062372e-02 5.861501917718511812e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.410106331728361473e-02 8.652394248899186735e-02 -3.570863408435376307e-02 -8.140834101983662752e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.697316492428661117e-02 -5.800436782615643605e-02 -2.637269875960322751e-02 9.388856355440308721e-02
0.000000000000000000e+00 -1.381551055796427280e+07 5.296476528959570551e-02 8.216713831336031060e-02 -3.298429561632357232e-03 -7.937124490585512060e-02
0.000000000000000000e+00 -1.610506310749994300e+05 -8.382573770991659512e-02 -9.413478732566796237e-02 -3.046185925278495354e-02 7.397485767795616840e-02
0.000000000000000000e+00 -1.536683655568281247e+05 -5.974380144485758048e-02 -9.429206815257014374e-02 -5.676324409185911496e-02 5.320531243920065267e-02
0.000000000000000000e+00 -1.499150877547009732e+05 -8.261508704905705380e-02 9.791514593142433553e-02 5.768043833010844113e-02 -1.673960646944902542e-02
