weight logl k1 k2 k3 k4
0.000000000000000000e+00 -1.381551055796427280e+07 4.888911826489027446e-01 8.807829661192403403e-01 7.856216678030625289e-02 9.963540817994565035e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.314408870383251937e-01 1.712233176507421684e-01 1.345434229590625197e-02 4.765936437385678293e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.084416568213780518e-02 1.557298334248051752e-01 1.246618770075890170e-01 5.106505175332631818e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.433329877997086665e-02 5.837808293236006474e-01 1.701521017841114425e-01 2.455530136505653660e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.173097449203631237e-01 2.340917581107101464e-01 6.806737266932124664e-01 2.920191306251488372e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.416069654235975639e-01 2.949331786667623856e-01 2.889212287046952765e-01 1.098941270953657234e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.005069669142085065e-02 3.676795295315524736e-01 1.266607719289535305e-01 6.258122870201687782e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.742711928464647952e-01 3.110999532061353712e-01 9.851584009056186808e-01 6.023286013060767941e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.765604319181930171e-01 2.937986445892044607e-01 8.695068894917795665e-01 9.931026283836916768e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.854889831310891690e-01 1.899850645311442765e-01 1.077032814735726651e-01 8.103651509300102695e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.099369448552995232e-01 7.635317160458910957e-01 8.272147084921841476e-01 5.205452032289681341e-02
0.000000000000000000e+00 -1.381551055796427280e+07 5.090951412964167533e-01 1.188335223288891074e-01 6.848621280906139752e-01 3.228082861468806186e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.084215763811027688e-01 9.306030776909577362e-01 1.854347604358281831e-01 7.821293546044231215e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.064191692839203451e-01 1.753216075846553146e-03 9.111395479215697035e-01 1.935373487698488493e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.069253929136963821e-01 3.938073789692224658e-01 9.452931774496522443e-01 1.521618101671359247e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.834725247095155831e-01 3.192860612284816879e-01 4.778914097679942685e-03 1.965370417548573112e-02
0.000000000000000000e+00 -1.381551055796427280e+07 6.565114497127937376e-01 4.772969593790798992e-02 4.768638724150570107e-01 6.877310412263681894e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.793105091900004666e-03 1.783732674469343804e-01 7.264202720778530908e-01 7.930750958859256183e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.949468341358196799e-02 9.326197124449593368e-01 3.214568295782311846e-01 9.295829490081686242e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.348658246214329726e-01 2.099781608692178336e-01 3.681365062019839041e-01 9.694428177720153528e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.648238264479785276e-01 9.108356915668015530e-01 4.835078521918382277e-01 1.031437754707243970e-01
0.000000000000000000e+00 -1.610506310749994300e+05 8.087131145041703828e-02 2.932606337166021593e-02 3.476907037360752462e-01 8.698742883897807587e-01
0.000000000000000000e+00 -1.536683655568281247e+05 2.012809927757120976e-01 2.853965923714929520e-02 2.161837795407044460e-01 7.660265621960032911e-01
0.000000000000000000e+00 -1.499150877547009732e+05 8.692456475471477262e-02 9.895757296571215944e-01 7.884021916505421501e-01 4.163019676527548452e-01
0.000000000000000000e+00 -1.447024364740593592e+05 7.507845238607324667e-02 9.619094553625481270e-01 4.290975698203083333e-01 1.763826189354774643e-01
0.000000000000000000e+00 -1.410851776903856953e+05 5.009210274493935966e-02 9.776705878403856298e-01 9.116939404271162672e-04 3.462816472508842836e-01
0.000000000000000000e+00 -1.383280464579162654e+05 9.456448687037710688e-02 9.000126585209708985e-01 7.720624051327542592e-01 3.116191933692460392e-01
0.000000000000000000e+00 -1.374355113417477405e+05 5.283089728635892435e-03 2.875204468765975019e-01 3.797370329542565370e-01 7.400331796805731388e-01
0.000000000000000000e+00 -1.371049455740454141e+05 1.310991149505535969e-02 1.079651680313495898e-01 7.997442522338137350e-01 4.257970296894426632e-01
0.000000000000000000e+00 -1.364511740135352011e+05 5.726575474380757313e-02 8.730316421654278347e-01 2.282835605597060002e-01 1.931016753877119463e-01
