,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15
4144,-2.550389442416,0.630061733301144,1.62827512186369,0.308140767225477,-1.29827486071667,1.4873322729265,-0.314692815019332,0.180069248927572,-1.60533955619005,-0.08175683417843252,2.63794639984539,2.21325556085139,-1.92368865010906,-0.645656750168678,1.19467088148874,-0.976673037685561
4145,-2.01471102846795,1.04283209668868,2.56764286002718,0.67227176555153,-0.678476358564833,1.81813992379786,-0.01175954021912993,0.458569571561601,-1.18315433494986,0.265604154287984,-2.59816080815226,-3.1247636619577,-1.53769576499886,-0.258959291735035,1.45969661190843,-0.456081051949143
4146,-2.83479984919431,0.51675961235509,1.54732556214939,0.474294931826126,-1.51722169117815,1.18621907645539,-0.510179656251075,0.104703697598521,-1.91373365114035,-0.007121575064270732,2.76362462396025,1.86199493558438,-2.01534673744437,-0.739519493333852,1.01856265374418,-1.00792670521232
4147,-2.87332020775112,0.65278593661442,1.46005084901052,0.314511199604726,-1.41821372471305,1.16833692538169,-0.569403630212714,0.04860401252020073,-1.86431908273258,-0.376443207126703,2.29108187260903,1.88046923898015,-2.29247889751896,-0.727644554201289,0.972808298311623,-1.06875569751065
4148,3.05192571202801,0.458240333740578,1.41670120845671,0.18774536354222,-1.49367355687219,1.07394346978106,-0.471232401617998,-0.07018403710363155,-1.72051526314591,-0.418539906109808,2.21429255518265,1.77814938166551,-2.83189430362196,-1.08930990800744,0.733242064905608,-1.18422329915347
4149,2.80555620732878,0.369615194717406,1.34005037921079,0.191513536128151,-1.80290699505957,1.09746626861742,-0.463078141570706,-0.136405658449773,-2.23388080069114,-0.348134769829697,1.89142176730265,1.65266893064949,-2.4065325051175,-1.11206468235101,0.557584677087555,-1.31463014409297
4150,-2.63881813616234,0.728200070325299,1.6456182904789,0.537849722666899,-1.33853968197852,1.25905562066265,-0.299519115588323,0.10595252433604,-1.55542369726673,-0.170991518307591,2.80350828784379,2.21880155162641,-2.12379525719059,-0.615119763987004,0.936686107892839,-0.959709472404156
4151,-2.3822786205226,1.00920655156331,1.76336452581889,0.704698283092297,-1.12928480695501,1.49331936974572,-0.297795133109427,0.259036392777845,-1.44121461474877,-0.179084310134722,-3.04054452640762,2.21866072986659,-1.80631195865791,-0.633434250043967,1.18612144310729,-0.821691204791317
4152,-1.74601551054507,1.1531607337418,2.57390828398612,0.98869204839109,-0.538287244008591,2.20733630944654,0.24232752785181,0.819813104654723,-1.06775268830282,0.302365338301928,-2.0705479658669,-2.34067555814164,-1.33154117938334,-0.01570943085561234,1.85074838692706,-0.373237100325041
4153,-1.37453690601774,1.47437040155947,2.73952574077988,1.2718570336194,-0.776039434480584,2.21541448247108,0.07504410200068948,0.992198407342784,-0.914674417240566,0.70244196378426,-1.64450879334292,-2.28087171402575,-1.20325321471758,-0.142689740081376,1.84475986741294,-0.36613221876853
