k1 k2 k3 k4 k5
6.169681352894906823e-02 -1.374954624816956961e-02 3.319025557138324811e-03 -2.066215896963374821e-04 -7.072423158474006044e-04
6.284943643022564141e-02 -1.283267368210097570e-02 2.078061907245534745e-03 -4.687652945119802350e-04 -1.293915270556833530e-04
6.401860784655055703e-02 -7.699770870812666645e-03 3.661992449454157250e-03 -2.179497344230313383e-03 4.851731843120987708e-04
6.489206188079651993e-02 -1.025468104808097136e-02 2.703451711495413745e-03 -6.129724647147838379e-04 -1.474439514618341995e-03
6.331524673696514727e-02 -1.094714150951618670e-02 3.290574229264292550e-03 -2.933093445907863916e-03 -6.466681006627728046e-04
6.309555230693172923e-02 -1.129313421149936991e-02 2.908466011267776818e-03 -4.480477603437810208e-04 -9.241100931809131946e-04
6.404389802057919301e-02 -1.004139313497739994e-02 1.703353673359692122e-03 -1.173996118931291965e-03 -7.703466505113581997e-04
6.252871889666097860e-02 -1.052190523586839233e-02 9.031782553859668550e-04 4.212836548144888171e-04 -2.270824959448303204e-04
6.417236212798757555e-02 -9.827896990961676460e-03 2.257410991390734756e-03 -1.390273577800332783e-03 -1.269860043183329568e-03
6.198212315287959795e-02 -1.089041741866109136e-02 1.910905451926361853e-03 -5.164222572804216815e-04 2.768957946279460014e-04
6.429135111958225735e-02 -1.105264230748508048e-02 2.700435767138603671e-03 -1.572489945493027452e-04 7.588616365447331535e-04
6.360303745552467469e-02 -9.941551794792738428e-03 3.750019530680687163e-03 -1.810554573045825011e-03 9.607631164741947671e-04
6.423697299954297946e-02 -8.207173122394426090e-03 3.299453482095038304e-03 -2.664565611179378624e-03 -1.947433191247044393e-03
6.513495041459727020e-02 -9.995898153684373844e-03 1.384563648533038149e-03 -2.378295822178050356e-03 -8.389287401279477141e-04
6.368700482988276512e-02 -1.201144397735350033e-02 1.648531356381655044e-03 -3.243610141608205266e-03 -8.676296599745558780e-04
6.451870114879323936e-02 -1.130238739112369994e-02 2.638169841199827781e-03 -1.445637410789527011e-03 -5.168220235677312147e-04
6.500517844979092352e-02 -8.085105256579613875e-03 4.965338273270170077e-03 -1.615137381893422264e-03 -1.071471824415998197e-03
6.275144085075859413e-02 -8.835777017682844292e-03 2.224012255862634069e-03 -1.964763462968588392e-03 -1.901162280595197762e-04
6.460826349774681510e-02 -9.930870874482772281e-03 4.642085991387184807e-03 2.360306627864072748e-04 -1.517993573919670935e-03
6.409968219795428301e-02 -1.120001375110686592e-02 1.581449717094035590e-03 -1.838384367459450219e-03 -1.763001603258845806e-03
6.381772142103828149e-02 -1.280370066664700268e-02 6.083336571008346461e-05 -7.951016230387797368e-04 5.500854615771988421e-04
6.367500132522724288e-02 -9.725463294696784500e-03 3.464531666456577286e-03 7.392416711226867942e-04 5.637733338222927770e-04
6.207069291770914155e-02 -1.077296163559834929e-02 2.299777899487570609e-03 -1.836928836902423923e-03 3.191933830062748667e-04
6.314092362721621110e-02 -1.019429622763846910e-02 2.081733767516455447e-03 -3.217459168427902472e-03 -2.599738201635448664e-04
6.365578441156610756e-02 -1.293115040323200571e-02 3.631449490935495517e-03 -4.671465662374890693e-04 1.241310701608669409e-03
6.487784868464574473e-02 -8.871393491458962055e-03 2.535644167928591264e-03 -1.796234570916752094e-03 5.415742338524820454e-04
6.314092362721621110e-02 -1.019429622763846910e-02 2.081733767516455447e-03 -3.217459168427902472e-03 -2.599738201635448664e-04
6.261539169545496386e-02 -1.169472151583642039e-02 1.529228198054038979e-03 -9.662768906906343824e-04 -3.996775858785828195e-04
6.455719521139904882e-02 -1.152139950930183843e-02 1.121370527700588093e-03 -1.043190493182799550e-03 -1.857920919999728193e-03
6.293505230446003185e-02 -1.194717730945910050e-02 1.990871377660519137e-03 -2.314945948706598200e-03 1.694461173601669035e-04
6.510344518787500312e-02 -1.063868311877581851e-02 2.799434445048348818e-03 8.181604776576617555e-04 1.172317687139587394e-03
6.206304036027668336e-02 -1.026221394022845679e-02 3.542233937379138387e-03 1.270520253325704840e-03 -7.341258915788129169e-04
6.298820746426128658e-02 -1.140521937450331147e-02 -8.026715026767383687e-04 -2.104982466002797148e-03 1.011807611326909218e-03
6.252314312679527197e-02 -1.087289717511016884e-02 8.706123475383104049e-04 -1.374633693481716601e-03 -1.194829035658678817e-03
6.276944487570748632e-02 -1.170717462909129369e-02 3.668921732048996409e-03 -4.353833360437320277e-04 -1.279286063689016872e-03
6.354646997661247965e-02 -1.280930549021909448e-02 2.715847001610427469e-03 -1.247931868705934311e-03 5.747217760000006281e-04
6.449483832160216035e-02 -1.051606735057460107e-02 2.301090706957609200e-03 -1.406057715191436075e-03 -4.938231270018578201e-05
